,titol,descripcio,origen
592,Subvencions atorgades per l'Ajuntament de Barcelona,"
Detall de les subvencions atorgades per l'Ajuntament de Barcelona (exceptuant les subvencions gestionades per Barcelona Activa), l'Institut de Cultura de Barcelona, l'Institut Municipal Barcelona Esports, l'Institut Municipal d'Educació, l'Institut Municipal de Mercats, l'Institut Municipal de Persones amb Discapacitat, l'Institut Municipal de Serveis Socials, l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida i l'Institut Municipal d'Hisenda, per a les quals s’ha realitzat pagaments l’any 2019 i següents.
Per veure les subvencions atorgades per l’Ajuntament de Barcelona (subvencions gestionades per Barcelona Activa), l’Institut Municipal de Parcs i Jardins, l’Institut Municipal de l'Habitatge i la Rehabilitació, l’Institut Municipal d'Urbanisme i la Fundació Mies van der Röhe, així com aquelles que atorguen els consorcis, fundacions i associacions vinculats a l'Ajuntament, podeu consultar: Relació de subvencions atorgades per ens participats de l'Ajuntament de Barcelona.
Per veure les subvencions atorgades per l’Ajuntament de Barcelona i les seves entitats dependents fins l’any 2018, podeu consultar: Relació de subvencions i transferències de l'Ajuntament de Barcelona, fins l’any 2018.
",barcelona
593,"Relació de subvencions i transferències de l'Ajuntament de Barcelona, fins l'any 2018","
Detall de les subvencions atorgades per l’Ajuntament de Barcelona i les seves entitats dependents fins l’any 2018. Discontinuat en el contingut, doncs, s’ha modificat el sistema de publicació de les dades. Actualment: 
Per veure les subvencions atorgades per l'Ajuntament de Barcelona (exceptuant les subvencions gestionades per Barcelona Activa), l'Institut de Cultura de Barcelona, l'Institut Municipal Barcelona Esports, l'Institut Municipal d'Educació, l'Institut Municipal de Mercats, l'Institut Municipal de Persones amb Discapacitat, l'Institut Municipal de Serveis Socials, l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida i l'Institut Municipal d'Hisenda, per a les quals s’ha realitzat pagaments l’any 2019 i següents, podeu consultar: Subvencions atorgades per l'Ajuntament de Barcelona.
Per veure les subvencions atorgades per l'Ajuntament de Barcelona (subvencions gestionades per Barcelona Activa), l'Institut Municipal de Parcs i Jardins, l’Institut Municipal de l'Habitatge i la Rehabilitació, l’Institut Municipal d'Urbanisme i la Fundació Mies van der Röhe, així com aquelles que atorguen els consorcis, fundacions i associacions vinculats a l'Ajuntament, podeu consultar: Relació de subvencions atorgades per ens participats de l'Ajuntament de Barcelona.
",barcelona
594,Subvencions i transferències de l'Institut de Cultura de Barcelona,"
Subvencions i transferències de Institut de Cultura de Barcelona
",barcelona
595,Tanatoris de la ciutat de Barcelona,"
Tanatoris de la ciutat de Barcelona
",barcelona
596,Informació de les tarifes dels aparcaments en superfície a la ciutat de Barcelona,"
Informació de les tarifes dels aparcaments regulats en superfície a la ciutat de Barcelona.
Es detallen els diferents preus en relació a cada tipus de plaça.
",barcelona
597,Adreces postals elementals de la ciutat de Barcelona,"
Totes les adreces elementals de la ciutat de Barcelona.
",barcelona
598,Adreces per secció censal de la ciutat de Barcelona,"
Adreces elementals i la seva relació amb la secció censal INE corresponent
",barcelona
599,Dades urbanístiques de les illes de la ciutat de Barcelona,"
Dades agregades per illa de cases de la ciutat de Barcelona, amb informació provinent del Padró d'Habitants, urbanística i edificatòria, entre d'altres.
",barcelona
600,Població de la ciutat de Barcelona per secció censal segons lectura de padró viu ,"
Població de la ciutat de Barcelona per secció censal segons lectura de padró viu
",barcelona
601,Llista d'adreces dels edificis de la ciutat de Barcelona,"
Adreces dels edificis i portals de la ciutat de Barcelona.
",barcelona
602,Telefèrics a la ciutat de Barcelona,"
Telefèrics a la ciutat de Barcelona
",barcelona
603,Temperatures mitjanes mensuals de l’aire de la ciutat de Barcelona des de 1780,"
Temperatures mitjanes mensuals de l’aire de la ciutat de Barcelona des de 1780. La temperatura es proporciona en graus centígrads (ºC).
",barcelona
604,Autoritzacions de terrasses ordinàries a l’espai d’ús públic de la ciutat de Barcelona,"
Autoritzacions de les terrasses ordinàries a l'espai d'ús públic, per temporada i anuals, a la ciutat de Barcelona. Es tracta de negocis de restauració i comerç alimentari que per tipologia concreta és permesa l'autorització.
",barcelona
605,Mapes de soroll per tram de carrer del Mapa Estratègic de Soroll de la ciutat de Barcelona,"
Els mapes de soroll per tram de carrer mostren els nivells de soroll que arriben de mitjana a les façanes, entre dos interseccions de carrer, segons la tipologia de la font i la franja horària.
Un Mapa Estratègic de Soroll (MES) és un conjunt de mapes que serveixen per avaluar globalment l’exposició de la població al soroll produït per diferents fonts de soroll en una zona determinada, i també són la base per a l’elaboració de plans d’acció. S’elaboren cada 5 anys i s’utilitzen com a eina de gestió per a la millora i recuperació de la qualitat acústica on sigui necessari i per a protegir la bona qualitat acústica en entorns tranquils.
Aquesta informació es pot consultar gràficament als  Mapes de dades ambientals. Es poden consultar també els altres datasets disponibles del Mapa Estratègic de Soroll.
Per a més informació sobre el Mapa Estratègic de Soroll, consulta les   FAQ dels Mapes de dades ambientals.
",barcelona
606,Informació sobre l'estat del trànsit als trams de la ciutat de Barcelona,"
Informació detallada sobre l'estat del trànsit als trams de la ciutat de Barcelona.
",barcelona
607,Informació dels trams dels aparcaments en superfície a la ciutat de Barcelona,"
Informació dels trams dels aparcaments de pagament  regulats  en superfície a la ciutat de Barcelona.
Es configura en diferents tipus de places: blaves, verdes, verdes exclusives per a residents, distribució urbana de mercaderies...
",barcelona
608,"Relació d'encomanes de gestió de l'Ajuntament de Barcelona i les entitats del seu grup municipal i de les transferències entre les entitats del grup, fins l'any 2018","
Discontinuat en el contingut, doncs, s’ha modificat el sistema de publicació de les dades. Actualment: 
Per veure les subvencions atorgades per l'Ajuntament de Barcelona (exceptuant les subvencions gestionades per Barcelona Activa), l'Institut de Cultura de Barcelona, l'Institut Municipal Barcelona Esports, l'Institut Municipal d'Educació, l'Institut Municipal de Mercats, l'Institut Municipal de Persones amb Discapacitat, l'Institut Municipal de Serveis Socials, l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida i l'Institut Municipal d'Hisenda, per a les quals s’ha realitzat pagaments l’any 2019 i següents, podeu consultar: Subvencions atorgades per l'Ajuntament de Barcelona.
Per veure les subvencions atorgades per l’Ajuntament de Barcelona (subvencions gestionades per Barcelona Activa), l’Institut Municipal de Parcs i Jardins, l’Institut Municipal de l'Habitatge i la Rehabilitació, l’Institut Municipal d'Urbanisme i la Fundació Mies van der Röhe, així com aquelles que atorguen els consorcis, fundacions i associacions vinculats a l'Ajuntament, podeu consultar: Relació de subvencions atorgades per ens participats de l'Ajuntament de Barcelona.
I, per veure les subvencions atorgades per l’Ajuntament de Barcelona i les seves entitats dependents fins l’any 2018, podeu consultar: Relació de subvencions i transferències de l'Ajuntament de Barcelona, fins l’any 2018.
",barcelona
609,Relació de trams de la via pública de la ciutat de Barcelona,"
Relació de trams de la via pública de la ciutat de Barcelona
",barcelona
610,Definició d'itineraris de la ciutat de Barcelona i especificació dels trams que els composen,"
Enumeració de codis d'itineraris, trams que els composen i descripció dels trams de la xarxa viària de la ciutat de Barcelona
",barcelona
611,Transports de la ciutat de Barcelona,"
Transports (metro, Renfe, FGC, funicular, telefèric, tramvia, etc) de la ciutat de Barcelona.
",barcelona
612,Transports Metropolitans i companyies d'autocars de la ciutat de Barcelona,"
Transports Metropolitans i companyies d'autocars de la ciutat de Barcelona.
",barcelona
613,Ús del servei Bicing de la ciutat de Barcelona,"
Informació de dades en temps real de l'ús del servei Bicing de la ciutat de Barcelona.
",barcelona
614,Despeses de viatge dels regidors/es i comissionats/des de l’Ajuntament de Barcelona,"
Llistat de les despeses de viatge dels regidors, regidores, comissionats i comissionades de l’Ajuntament de Barcelona (exceptuant les dels viatges de l’Alcalde/essa, que es publiquen de forma separada).
Els viatges es publiquen un cop la despesa (dietes, desplaçament i allotjament) està totalment liquidada. Això es produeix passats tres mesos des de la finalització del viatge (termini per a justificar documentalment les despeses realitzades).
",barcelona
615,"Vies Pedalables ""Ciclables"" a la ciutat de Barcelona ","
Vies ""Ciclables"" a la ciutat de Barcelona. Carrers 30, 20, 10 o carrers bici no inclosos en àrees de zones 30.
",barcelona
616,Xarxa de refugis climàtics a la ciutat de Barcelona,"
Xarxa de refugis climàtics a la ciutat de Barcelona
",barcelona
617,Zones de càrrega i descàrrega  a la ciutat de Barcelona,"
Zones de càrrega i descàrrega  a la ciutat de Barcelona.
",barcelona
618,Zones d'estacionament Zona BUS de la ciutat de Barcelona,"
La ciutat de Barcelona disposa d’un conjunt de zones d’estacionament exclusives per autocars turístics, que es troben properes als punts de major atractiu de la ciutat i els hi fan més fàcil i ordenat l’estacionament i les parades.
",barcelona
619,Zones 30 a la ciutat de Barcelona,"
Zones 30 a la ciutat de Barcelona, amb informació tant dels carrers 30 com els polígons de les zones que conformen.  Al carrer 30 també l'anomenem carrer bici.
",barcelona
